SOA,Vacancies Notified
Glengormley 2,6
Glenravel,45
Glentaisie and Kinbane,7
Glenwhirry,52
Glynn,2
Gortalee,7
Gortalowry,136
Gortin,22
Gortrush 1,0
Gortrush 2,40
Graham's Bridge,448
Grange,58
Gransha,20
Greenisland,74
Gregstown 1,0
Gregstown 2,6
Gregstown 3,0
Gresteel 1,7
Gresteel 2,2
Greystone (Antrim LGD),0
Greystone (Limavady LGD),24
Groomsport,8
Gulladuff,45
Hamiltonsbawn 1,4
Hamiltonsbawn 2,2
Harbour,124
Harbour 1,119
Harbour 2,38
Harmony Hill,28
Harryville,495
Hawthorne,0
Highfield 1,0
Highfield 2,0
Highfield 3,8
Hightown,45
Hilden 1,568
Hilden 2,2
Hillfoot,11
Hillhall 1,12
Hillhall 2,24
Hillsborough 1,4
Hillsborough 2,173
Hockley,91
Holly Mount 1,11
Holly Mount 2,97
Holywood Demesne,408
Holywood Priory,"3,429"
Hopefield 1,32
Hopefield 2,0
Irvinestown,7
Island 1,275
Island 2,303
Island Magee,8
Jordanstown 1,0
Jordanstown 2,18
Jordanstown 3,3
Katesbridge,57
Keady,3
Kells 1,2
Kells 2,5
Kernan 1,16
Kernan 2,543
Kesh Ederney and Lack 1,0
Kesh Ederney and Lack 2,5
Kilfennan 1,0
Kilfennan 2,0
Kilkeel Central 1,62
Kilkeel Central 2,226
Kilkeel South 1,2
Kilkeel South 2,11
Killeen,231
Killinchy 1,4
Killinchy 2,15
Killoquin Lower,12
Killoquin Upper,24
Killough 1,2
Killough 2,0
Killyclogher 1,0
Killyclogher 2,16
Killycolpy,77
Killycomain,48
Killycrot,283
Killylea,10
Killyleagh,4
Killyman,59
Killymeal,279
Killymoon,10
Kilmore 1,32
Kilmore 2,7
Kilrea,16
Kilwaughter 1,1
Kilwaughter 2,35
Kilwee 1,4
Kilwee 2,22
Kircubbin 1,0
Kircubbin 2,9
Knock 1,0
Knock 2,2
Knock 3,0
Knockagh,8
Knockaholet,5
Knockbracken 1,0
Knockbracken 2,4
Knockcloghrim,98
Knocklayd,5
Knocklynn 1,16
Knocklynn 2,7
Knockmore 1,"1,263"
Knockmore 2,0
Knocknashane 1,12
Knocknashane 2,10
Ladybrook 1,0
Ladybrook 2,1
Ladybrook 3,12
Lagan Valley 1,0
Lagan Valley 2,94
Lambeg 1,10
Lambeg 2,4
Laurelvale,11
Lawrencetown,92
Lecumpher,38
Legoniel 1,0
Legoniel 2,0
Legoniel 3,1
Lisanelly 1,137
Lisanelly 2,15
Lisbane 1,11
Lisbane 2,11
Lisbellaw,4
Lisnacree,27
Lisnagarvey,45
Lisnagelvin 1,16
Lisnagelvin 2,6
Lisnarrick,55
Lisnasharragh,757
Lisnaskea,78
Lissan,764
Loughbrickland,26
Loughgall,120
Loughries 1,0
Loughries 2,2
Loughview 1,8
Loughview 2,5
Love Lane,94
Lower Braniel,0
Lower Glenshane 1,94
Lower Glenshane 2,15
Macosquin,22
Maghaberry 1,16
Maghaberry 2,30
Maghera,16
Magheralave 1,9
Magheralave 2,168
Magheralin 1,4
Magheralin 2,29
Magilligan,62
Maguiresbridge,7
Mallusk 1,7
Mallusk 2,685
Mallusk 3,855
Malone 1,16
Malone 2,2
Malone 3,596
Markethill,29
Massereene 1,137
Massereene 2,172
Mayobridge 1,1
Mayobridge 2,1
Maze 1,14
Maze 2,8
Milebush,1
Milford,326
Millisle 1,5
Millisle 2,20
Minnowburn,9
Moat,9
Moira 1,38
Moira 2,10
Moneymore,81
Moneyreagh 1,81
Moneyreagh 2,5
Monkstown 1,4
Monkstown 2,0
Mossley 1,10
Mossley 2,100
Mount Sandel,51
Mourneview,2
Movilla 1,238
Movilla 2,1
Movilla 3,0
Moy,88
Moygashel,212
Mullaghmore,46
Murlough,48
Musgrave 1,0
Musgrave 2,0
Musgrave 3,186
New Buildings 1,15
New Buildings 2,3
New Lodge 1,66
New Lodge 2,0
New Lodge 3,0
Newbuildings,86
Newhill,3
Newtownbreda,172
Newtownbutler,0
Newtownhamilton,0
Newtownsaville,19
Newtownstewart,19
North,154
Northland,64
Oaklands,50
Observatory,127
Old Warren,2
Oldtown,53
Orangefield 1,294
Orangefield 2,247
Orangefield 3,0
Owenkillew,1
Park,40
Parkgate,4
Parklake,52
Pennyburn 1,82
Pennyburn 2,2
Plumbridge,0
Poleglass 1,4
Poleglass 2,15
Pomeroy,34
Portaferry 1,2
Portaferry 2,0
Portavogie 1,10
Portavogie 2,4
Portglenone 1,0
Portglenone 2,68
Portora,245
Portstewart,25
Poyntz Pass,13
Princetown,128
Quilly,56
Quoile 1,327
Quoile 2,3
Randalstown 1,24
Randalstown 2,114
Rathbrady,0
Rathfriland,158
Rathgael,1
Ravenhill 1,46
Ravenhill 2,10
Ravenhill 3,0
Rich Hill 1,0
Rich Hill 2,25
Ringsend,15
Roeside,145
Rosemount,47
Rosetta 1,0
Rosetta 2,77
Rosetta 3,0
Rosslea,0
Rossorry,23
Rostrevor,11
Rostulla 1,30
Rostulla 2,23
Route,144
Royal Portrush,104
Saintfield 1,1
Saintfield 2,268
Sandholes,125
Scrabo 1,35
Scrabo 2,1
Seacon,42
Seaforde,13
Seapatrick,16
Seaview 1,11
Seaview 2,0
Seymour Hill,44
Shaftesbury 1,"4,597"
Shaftesbury 2,"2,331"
Shaftesbury 3,60
Shankill 1,638
Shankill 2,69
Shantallow East,1
Shantallow West 1,0
Shantallow West 2,15
Shantallow West 3,218
Shantallow West 4,2
Shilvodan,21
Shimna,111
Silver Bridge 1,0
Silver Bridge 2,1
Silverstream,6
Sion Mills,47
Sixmilecross,7
Slemish,53
Slievekirk,2
South 1,76
South 2,0
Spelga,10
Springfarm 1,135
Springfarm 2,92
Springhill 1,1
Springhill 2,3
Springtown 1,0
Springtown 2,"1,012"
St Mary's,86
St Patrick's 1,12
St Patrick's 2,68
Steeple,0
Stewartstown,13
Stiles,8
Stormont 1,17
Stormont 2,49
Stormont 3,42
Strand 1 (Coleraine LGD),17
Strand 1 (Derry LGD),"1,422"
Strand 2 (Coleraine LGD),0
Strand 2 (Derry LGD),3
Strangford,2
Stranmillis 1,4
Stranmillis 2,0
Stranmillis 3,15
Stranmillis 4,1
Stranocum,36
Strule,42
Summerfield,12
Sunnylands,0
Swatragh 1,40
Swatragh 2,14
Sydenham 1,429
Sydenham 2,6
Sydenham 3,2
Taghnevan,4
Tandragee,18
Tavanagh,380
Templepatrick,120
Tempo,33
Termon,50
The Birches 1,6
The Birches 2,21
The Cut,24
The Cuts 1,75
The Cuts 2,8
The Diamond,552
The Highlands,24
The Loop,44
The Mall,219
The Mount 1,27
The Mount 2,14
The Vow,1
Tobermore,40
Tollymore 1,4
Tollymore 2,69
Tonagh,102
Toome,99
Town Parks,10
Town Parks East 1,9
Town Parks East 2,29
Town Parks West,250
Trillick,0
Tullagh,78
Tullycarnet,5
Tullyhappy,23
Twinbrook 1,0
Twinbrook 2,2
University,514
Upper Braniel,13
Upper Glenshane,24
Upper Malone 1,38
Upper Malone 2,0
Upper Malone 3,0
Upper Springfield 1,0
Upper Springfield 2,42
Upper Springfield 3,20
Upperlands,35
Valley,5
Valley 1,161
Valley 2,8
Victoria (Carrickfergus LGD),0
Victoria (Derry LGD),93
Victoria Bridge,22
Wallace Park 1,22
Wallace Park 2,48
Waringstown 1,80
Waringstown 2,5
Washing Bay,187
Water Works 1,184
Water Works 2,0
Water Works 3,8
Waterside,20
West 1,16
West 2,134
Westland,18
Whitehead,9
