OBJECTID,SA2011,node_dist,stop_dist,centre_in,node_in,stop_in,iso_cutoff,iso_date,iso_type,iso_hectar,centre_X,centre_Y,node_X,node_Y,stop_X,stop_Y,SHAPE_Length,SHAPE_Area
126,N00000032,102,394,1,1,0,1800,12/6/2022,from_centroid,5201,307604.17,389372.87,307513.24,389419.31,307652.57,389763.32,63129.05682,17366005.09
127,N00000032,102,394,1,1,0,2700,12/6/2022,from_centroid,13471,307604.17,389372.87,307513.24,389419.31,307652.57,389763.32,164579.0146,44998783.13
128,N00000032,102,394,1,1,0,3600,12/6/2022,from_centroid,24677,307604.17,389372.87,307513.24,389419.31,307652.57,389763.32,282699.8823,82426174.05
129,N00000033,23,642,1,1,1,900,12/6/2022,from_centroid,406,304705.16,388965.87,304727.77,388971.83,304941.04,389562.46,6121.70017,1355660.035
130,N00000033,23,642,1,1,1,1800,12/6/2022,from_centroid,2013,304705.16,388965.87,304727.77,388971.83,304941.04,389562.46,31040.08702,6731834.419
131,N00000033,23,642,1,1,1,2700,12/6/2022,from_centroid,3801,304705.16,388965.87,304727.77,388971.83,304941.04,389562.46,72457.45743,12698703.93
132,N00000033,23,642,1,1,1,3600,12/6/2022,from_centroid,6715,304705.16,388965.87,304727.77,388971.83,304941.04,389562.46,140444.8442,22413770.27
133,N00000034,23,453,1,1,0,900,12/6/2022,from_centroid,236,307526.14,390514.87,307548.25,390508.85,307977.02,390477.47,4613.778781,791685.5798
134,N00000034,23,453,1,1,0,1800,12/6/2022,from_centroid,4632,307526.14,390514.87,307548.25,390508.85,307977.02,390477.47,73767.29065,15470903.48
135,N00000034,23,453,1,1,0,2700,12/6/2022,from_centroid,9209,307526.14,390514.87,307548.25,390508.85,307977.02,390477.47,134084.2049,30726332.75
136,N00000034,23,453,1,1,0,3600,12/6/2022,from_centroid,15729,307526.14,390514.87,307548.25,390508.85,307977.02,390477.47,220727.3698,52511131.11
137,N00000035,19,359,1,1,0,900,12/6/2022,from_centroid,428,307681.15,390153.87,307690.58,390170.19,307789.02,389811.47,10635.41477,1429034.231
138,N00000035,19,359,1,1,0,1800,12/6/2022,from_centroid,7269,307681.15,390153.87,307690.58,390170.19,307789.02,389811.47,102488.2312,24278893.03
139,N00000035,19,359,1,1,0,2700,12/6/2022,from_centroid,15241,307681.15,390153.87,307690.58,390170.19,307789.02,389811.47,190368.4772,50894188.52
140,N00000035,19,359,1,1,0,3600,12/6/2022,from_centroid,25868,307681.15,390153.87,307690.58,390170.19,307789.02,389811.47,312337.2456,86358271.43
141,N00000036,16,183,1,1,1,900,12/6/2022,from_centroid,1179,307641.16,389972.87,307632.99,389958.91,307644.1,389789.78,19570.98324,3938628.828
142,N00000036,16,183,1,1,1,1800,12/6/2022,from_centroid,9320,307641.16,389972.87,307632.99,389958.91,307644.1,389789.78,113553.2135,31122311.5
143,N00000036,16,183,1,1,1,2700,12/6/2022,from_centroid,20838,307641.16,389972.87,307632.99,389958.91,307644.1,389789.78,227786.4983,69581933.66
144,N00000036,16,183,1,1,1,3600,12/6/2022,from_centroid,32575,307641.16,389972.87,307632.99,389958.91,307644.1,389789.78,351338.2985,108804064.9
145,N00000037,16,134,1,1,0,900,12/6/2022,from_centroid,638,315026.56,375834.87,315029.28,375850.61,314898.59,375874.45,15053.61483,2147485.225
146,N00000037,16,134,1,1,0,1800,12/6/2022,from_centroid,7774,315026.56,375834.87,315029.28,375850.61,314898.59,375874.45,120228.1553,26143505.31
147,N00000037,16,134,1,1,0,2700,12/6/2022,from_centroid,18483,315026.56,375834.87,315029.28,375850.61,314898.59,375874.45,261046.8744,62204514.48
148,N00000037,16,134,1,1,0,3600,12/6/2022,from_centroid,29976,315026.56,375834.87,315029.28,375850.61,314898.59,375874.45,350594.7608,100896643.2
149,N00000038,11,463,1,1,0,900,12/6/2022,from_centroid,279,314697.57,375118.87,314705.06,375110.45,314914.33,375528.11,6522.77859,940288.8796
150,N00000038,11,463,1,1,0,1800,12/6/2022,from_centroid,2570,314697.57,375118.87,314705.06,375110.45,314914.33,375528.11,38843.12748,8646039.98
151,N00000038,11,463,1,1,0,2700,12/6/2022,from_centroid,7850,314697.57,375118.87,314705.06,375110.45,314914.33,375528.11,119015.7086,26433741.23
152,N00000038,11,463,1,1,0,3600,12/6/2022,from_centroid,17936,314697.57,375118.87,314705.06,375110.45,314914.33,375528.11,218503.2469,60464042.6
153,N00000039,28,180,1,1,0,900,12/6/2022,from_centroid,1282,314740.55,375960.87,314749.83,375987.62,314898.59,375874.45,26845.59717,4308134.219
154,N00000039,28,180,1,1,0,1800,12/6/2022,from_centroid,12800,314740.55,375960.87,314749.83,375987.62,314898.59,375874.45,185821.1407,43080820.19
155,N00000039,28,180,1,1,0,2700,12/6/2022,from_centroid,26088,314740.55,375960.87,314749.83,375987.62,314898.59,375874.45,353904.2173,87838287.62
156,N00000039,28,180,1,1,0,3600,12/6/2022,from_centroid,39140,314740.55,375960.87,314749.83,375987.62,314898.59,375874.45,461065.823,131792370.2
157,N00000040,17,284,1,1,0,900,12/6/2022,from_centroid,770,315329.56,375871.87,315334.97,375855.59,315371.04,376153.17,16648.81841,2588188.111
158,N00000040,17,284,1,1,0,1800,12/6/2022,from_centroid,8472,315329.56,375871.87,315334.97,375855.59,315371.04,376153.17,127611.9529,28446965.97
159,N00000040,17,284,1,1,0,2700,12/6/2022,from_centroid,18158,315329.56,375871.87,315334.97,375855.59,315371.04,376153.17,256878.2997,61068870.41
160,N00000040,17,284,1,1,0,3600,12/6/2022,from_centroid,30738,315329.56,375871.87,315334.97,375855.59,315371.04,376153.17,361085.6526,103384563.6
161,N00000041,16,512,1,1,0,900,12/6/2022,from_centroid,193,315952.57,375865.87,315936.67,375865.01,315611.03,376246.62,4702.798455,647535.7895
162,N00000041,16,512,1,1,0,1800,12/6/2022,from_centroid,4484,315952.57,375865.87,315936.67,375865.01,315611.03,376246.62,69848.79388,15065030.74
163,N00000041,16,512,1,1,0,2700,12/6/2022,from_centroid,10053,315952.57,375865.87,315936.67,375865.01,315611.03,376246.62,161736.2597,33802834.74
164,N00000041,16,512,1,1,0,3600,12/6/2022,from_centroid,17584,315952.57,375865.87,315936.67,375865.01,315611.03,376246.62,249931.8112,59176859.72
165,N00000042,18,335,1,1,0,900,12/6/2022,from_centroid,748,315718.56,375929.87,315727.66,375945.75,315611.03,376246.62,14862.4191,2516581.213
166,N00000042,18,335,1,1,0,1800,12/6/2022,from_centroid,7446,315718.56,375929.87,315727.66,375945.75,315611.03,376246.62,115928.7273,25013192.37
167,N00000042,18,335,1,1,0,2700,12/6/2022,from_centroid,16585,315718.56,375929.87,315727.66,375945.75,315611.03,376246.62,245761.0025,55763483.96
168,N00000042,18,335,1,1,0,3600,12/6/2022,from_centroid,28294,315718.56,375929.87,315727.66,375945.75,315611.03,376246.62,355073.8787,95187135.46
169,N00000043,17,256,1,1,0,900,12/6/2022,from_centroid,507,314711.55,376239.87,314706.01,376223.96,314916.04,376086.62,9881.053289,1703059.222
170,N00000043,17,256,1,1,0,1800,12/6/2022,from_centroid,7161,314711.55,376239.87,314706.01,376223.96,314916.04,376086.62,105841.6226,24073162.41
171,N00000043,17,256,1,1,0,2700,12/6/2022,from_centroid,17177,314711.55,376239.87,314706.01,376223.96,314916.04,376086.62,238402.702,57798500.48
172,N00000043,17,256,1,1,0,3600,12/6/2022,from_centroid,29773,314711.55,376239.87,314706.01,376223.96,314916.04,376086.62,346264.6261,100211336.4
173,N00000044,15,244,1,1,0,900,12/6/2022,from_centroid,1424,315575.56,376004.87,315584.98,375992.8,315611.03,376246.62,23962.81333,4785885.947
174,N00000044,15,244,1,1,0,1800,12/6/2022,from_centroid,9869,315575.56,376004.87,315584.98,375992.8,315611.03,376246.62,145433.3449,33179016.2
175,N00000044,15,244,1,1,0,2700,12/6/2022,from_centroid,20862,315575.56,376004.87,315584.98,375992.8,315611.03,376246.62,293371.2568,70192078.89
176,N00000044,15,244,1,1,0,3600,12/6/2022,from_centroid,34375,315575.56,376004.87,315584.98,375992.8,315611.03,376246.62,388841.6832,115670933.8
